article_link,body_text,pub_date,title,clean_text,damage_level,school
http://sn4hr.org/blog/2017/09/27/suspected-russian-forces-shelled-school-batbo-village-aleppo-governorate-september-27/,"
snhr: suspected russian warplanes fired a missile on batbo village school in aleppo governorate western suburbs, damaging it severely and rendering it inoperable on september 27, 2017.
","September 27, 2017",suspected russian forces shelled a school in batbo village in aleppo governorate on september 27,snhr suspected russian warplanes fired a missile on batbo village school in aleppo governorate western suburbs damaging it severely and rendering it inoperable on september  ,severely,batbo village school
http://sn4hr.org/blog/2017/09/26/suspected-russian-forces-shelled-bashir-halli-school-jisr-al-shoghour-city-idlib-governorate-september-26/,"
snhr: suspected russian warplanes fired missiles on bashir halli school in the northern neighborhood in jisr al shoghour city in idlib governorate western suburbs, severely damaging its fence and partially damaging its furniture in september 26, 2017.
","September 26, 2017",suspected russian forces shelled bashir halli school in jisr al shoghour city in idlib governorate on september 26,snhr suspected russian warplanes fired missiles on bashir halli school in the northern neighborhood in jisr al shoghour city in idlib governorate western suburbs severely damaging its fence and partially damaging its furniture in september  ,severely damaging,bashir halli school
http://sn4hr.org/blog/2017/09/26/suspected-russian-forces-shelled-al-reifiya-al-shamaliya-school-maaret-harma-village-idlib-governorate-september-25/,"
snhr: suspected russian warplanes missiles fired on al reifiya al shamaliya school north of ma’aret harma village in idlib governorate southern suburbs, damaging it, september 25, 2017.
","September 26, 2017",suspected russian forces shelled al reifiya al shamaliya school in ma’aret harma village in idlib governorate on september 25,snhr suspected russian warplanes missiles fired on al reifiya al shamaliya school north of maaret harma village in idlib governorate southern suburbs damaging it september  ,damaging,al reifiya al shamaliya school
http://sn4hr.org/blog/2017/09/25/suspected-russian-forces-shelled-al-dar-al-kabira-primary-school-al-dar-al-kabira-town-idlib-governorate-september-25/,"
snhr: suspected russian warplanes fired missiles on al dar al kabira primary school in al dara al kabira village in idlib governorate southern suburbs, damaging it severely and rendering it inoperable, september 25, 2017.
","September 25, 2017",suspected russian forces shelled al dar al kabira primary school in al dar al kabira town in idlib governorate on september 25,snhr suspected russian warplanes fired missiles on al dar al kabira primary school in al dara al kabira village in idlib governorate southern suburbs damaging it severely and rendering it inoperable september  ,severely,al dar al kabira primary school
http://sn4hr.org/blog/2017/09/21/suspected-russian-forces-shelled-ahmad-al-ramadan-primary-school-al-tah-village-idlib-governorate-september-21/,"
snhr: suspected russian warplanes fired missile near ahmad al ramadan priamary school in al tah village in idlib governorate southern suburbs, damaging it on september 21, 2017.
","September 21, 2017",suspected russian forces shelled ahmad al ramadan primary school in al tah village in idlib governorate on september 21,snhr suspected russian warplanes fired missile near ahmad al ramadan priamary school in al tah village in idlib governorate southern suburbs damaging it on september  ,damaging,ahmad al ramadan priamary school
http://sn4hr.org/blog/2017/09/20/suspected-russian-forces-shelled-school-al-dar-al-kabira-village-idlib-governorate-september-20/,"
snhr: suspected russian warplanes missiles fired on al dar al kabira primary school in al dar al kabira village in idlib governorate southern suburbs, partially damaging it, september 20, 2017.
","September 20, 2017",suspected russian forces shelled school in al dar al kabira village in idlib governorate on september 20,snhr suspected russian warplanes missiles fired on al dar al kabira primary school in al dar al kabira village in idlib governorate southern suburbs partially damaging it september  ,partially damaging,al dar al kabira primary school
http://sn4hr.org/blog/2017/09/19/syrian-regime-forces-shelling-al-yarmouk-school-al-habeit-village-idlib-governorate-september-19/,"
snhr: syrian regime warplanes missiles fired on al yarmouk school west of al habeit village in idlib governorate southern suburbs, partially damaging its fence and building on september 19, 2017, the school is occupied by several idps.
","September 19, 2017",syrian regime forces shelling on al yarmouk school in al habeit village in idlib governorate on september 19,snhr syrian regime warplanes missiles fired on al yarmouk school west of al habeit village in idlib governorate southern suburbs partially damaging its fence and building on september   the school is occupied by several idps,partially damaging,al yarmouk school
http://sn4hr.org/blog/2017/09/19/syrian-regime-forces-shelled-maarzita-primary-school-maarzita-village-idlib-governorate-september-19/,"
snhr: syrian regime warplanes missiles fired on ma’arzita priamry school west of ma’arzita village in idlib governorate southern suburbs, damaging it on september 19, 2017.
","September 19, 2017",syrian regime forces shelled ma’arzita primary school in ma’arzita village in idlib governorate on september 19,snhr syrian regime warplanes missiles fired on maarzita priamry school west of maarzita village in idlib governorate southern suburbs damaging it on september  ,damaging,maarzita priamry school
http://sn4hr.org/blog/2017/08/25/schoolmasters-arrested-kurdish-self-management-forces-ghwayran-neighborhood-hasaka-city-aug-23/,"
snhr: self-management forces (mainly kurdish democratic union party- pkk branch) raided on ghwayran neighborhood southeast of hasaka city, arrested 2 schoolmasters of the neighborhood’s school and took them to unknown place on august 23, 2017.
","August 25, 2017",schoolmasters arrested by kurdish self- management forces in ghwayran neighborhood in hasaka city on aug 23,snhr selfmanagement forces mainly kurdish democratic union party pkk branch raided on ghwayran neighborhood southeast of hasaka city arrested  schoolmasters of the neighborhoods school and took them to unknown place on august  ,,ghwayran neighborhood southeast of hasaka city arrested  schoolmasters of the neighborhoods school
http://sn4hr.org/blog/2017/08/12/suspected-russian-forces-shelled-alia-bint-al-muhtadi-school-madan-city-raqqa-governorate-august-11/,"
snhr: suspected russian warplanes fired missiles on alia bint al muhtadi school in ma’dan city in raqqa governorate eastern suburbs, damaging it severely and rendering it inoperable august 11, 2017.
","August 12, 2017",suspected russian forces shelled alia bint al muhtadi school in ma’dan city in raqqa governorate on august 11,snhr suspected russian warplanes fired missiles on alia bint al muhtadi school in madan city in raqqa governorate eastern suburbs damaging it severely and rendering it inoperable august  ,severely,alia bint al muhtadi school
http://sn4hr.org/blog/2017/08/12/international-coalition-forces-shelled-fayez-mansour-school-al-boukamal-city-deir-ez-zour-governorate-august-11/,"
snhr: international coalition forces warplanes shelled fayez mansour school in al boukamal city in deir ez-zour governorate eastern suburbs, damaging it completely on august 11, 2017.
","August 12, 2017",international coalition forces shelled fayez mansour school in al boukamal city in deir ez-zour governorate on august 11,snhr international coalition forces warplanes shelled fayez mansour school in al boukamal city in deir ezzour governorate eastern suburbs damaging it completely on august  ,completely,no school found
http://sn4hr.org/blog/2017/07/30/syrian-regime-forces-shelled-martyr-fayez-al-ahmad-school-kafr-laha-city-homs-governorate-july-30/,"
snhr: syrian regime warplanes fired missile near martyr fayez al ahmad school in kafr laha city in homs governorate northwestern suburbs, damaging it, july 30, 2017.
","July 30, 2017",syrian regime forces shelled martyr fayez al ahmad school in kafr laha city in homs governorate on july 30,snhr syrian regime warplanes fired missile near martyr fayez al ahmad school in kafr laha city in homs governorate northwestern suburbs damaging it july  ,damaging,martyr fayez al ahmad school
http://sn4hr.org/blog/2017/07/18/international-coalition-forces-shelled-al-amin-school-abo-hamam-city-deir-ez-zour-governorate-july-17/,"
snhr: international coalition warplanes fired missiles on al amin school in abo hamam city in deir ez-zour governorate eastern suburbs, damaging it, july 17, 2017.
","July 18, 2017",international coalition forces shelled al amin school in abo hamam city in deir ez-zour governorate on july 17,snhr international coalition warplanes fired missiles on al amin school in abo hamam city in deir ezzour governorate eastern suburbs damaging it july  ,damaging,al amin school
http://sn4hr.org/blog/2017/07/18/international-coalition-forces-shelled-al-mshairfa-al-sharqiya-primary-school-al-ghanem-al-ali-village-raqqa-governorate-july-17/,"
snhr: international coalition warplanes fired missiles on al mshairfa al sharqiya primary school in al ghanem al ali village in raqqa governorate eastern suburbs, severely damaging it on july 17, 2017.
","July 18, 2017",international coalition forces shelled al mshairfa  al sharqiya primary school in al ghanem al ali village in raqqa governorate on july 17,snhr international coalition warplanes fired missiles on al mshairfa al sharqiya primary school in al ghanem al ali village in raqqa governorate eastern suburbs severely damaging it on july  ,severely damaging,al mshairfa al sharqiya primary school
http://sn4hr.org/blog/2017/07/17/international-coalition-forces-shelled-secondary-school-deir-ez-zour-governorate-july-17/,"
snhr: international coalition warplanes fired missiles on the secondary school in al keshkiya town in deir ez-zour governorate eastern suburbs, severely damaging its building and rendering it inoperable on july 17, 2017.
","July 17, 2017",international coalition forces shelled the secondary school in deir ez-zour governorate on july 17,snhr international coalition warplanes fired missiles on the secondary school in al keshkiya town in deir ezzour governorate eastern suburbs severely damaging its building and rendering it inoperable on july  ,severely damaging,the secondary school
http://sn4hr.org/blog/2017/07/16/international-coalition-fointernational-coalition-forces-shelled-school-al-sabha-village-deir-ez-zour-governorate-july-15-rces-shelled-school-al-sabha-village-deir-ez-zour-governorate-o/,"
snhr: international coalition warplanes missiles fired on high school for girls in al sabha village in deir ez-zour governorate eastern suburbs, damaging it severely, rendering it inoperable, july 15, 2017.
","July 16, 2017",international coalition forces shelled school in al sabha village in deir ez-zour governorate on july 15,snhr international coalition warplanes missiles fired on high school for girls in al sabha village in deir ezzour governorate eastern suburbs damaging it severely rendering it inoperable july  ,severely,high school
http://sn4hr.org/blog/2017/07/08/syrian-regime-forces-shelled-al-ikhlas-school-kafr-zita-city-hama-governorate-july-8/,"
snhr: syrian regime missiles launcher fired missiles on al ikhlas school in kafr zita city in hama governorate northern suburbs, partially destroying its building, severely damaging its furniture and rendering it inoperable on july 8, 2017.
","July 8, 2017",syrian regime forces shelled al ikhlas school in kafr zita city in hama governorate on july 8,snhr syrian regime missiles launcher fired missiles on al ikhlas school in kafr zita city in hama governorate northern suburbs partially destroying its building severely damaging its furniture and rendering it inoperable on july  ,severely damaging,al ikhlas school
http://sn4hr.org/blog/2017/06/14/syrian-regime-forces-shelled-school-tafas-city-daraa-governorate-june-14/,"
snhr: syrian regime warplanes fired missiles on school sheltering idps in tafas city in #daraa governorate western suburbs, causing a massacre, and damaging the school, june 14, 2017.
","June 14, 2017",syrian regime forces shelled school in tafas city in daraa governorate on june 14,snhr syrian regime warplanes fired missiles on school sheltering idps in tafas city in daraa governorate western suburbs causing a massacre and damaging the school june  ,damaging,school
http://sn4hr.org/blog/2017/06/08/international-coalition-forces-shelled-al-intifada-school-al-mashlab-neighborhood-raqqa-city-june-6/,"
snhr: international coalition warplanes missiles fired on al intifada school in al mashlab neighborhood east of raqqa city, severely damaging it and rendering it inoperable on june 6, 2017.
","June 8, 2017",international coalition forces shelled al intifada school in al mashlab neighborhood in raqqa city on june 6,snhr international coalition warplanes missiles fired on al intifada school in al mashlab neighborhood east of raqqa city severely damaging it and rendering it inoperable on june  ,severely damaging,al intifada school
http://sn4hr.org/blog/2017/06/03/international-coalition-forces-shelled-school-al-sweda-village-raqqa-governorate-june-2-international-coalition-forces-shelled-school-al-sweda-village-raqqa-governorate-june-2/,"
snhr: international coalition warplanes fired near a school in al sweda village in raqqa governorate eastern suburbs, killing a girl and her mother, partially damaging its building on june 2, 2017.
","June 3, 2017",international coalition forces shelled a school in al sweda village in raqqa governorate on june 2,snhr international coalition warplanes fired near a school in al sweda village in raqqa governorate eastern suburbs killing a girl and her mother partially damaging its building on june  ,partially damaging,a school
http://sn4hr.org/blog/2017/05/30/international-coalition-forces-shelled-ali-bent-al-mahdi-school-madan-town-raqqa-governorate-may-30/,"
snhr: international coalition warplanes missiles fired near alia bent al mahdi school in ma’dan town in raqqa governorate eastern suburbs, partially destroying its fence on may 30, 2017.
","May 30, 2017",international coalition forces shelled ali bent al mahdi school in ma’dan town in raqqa governorate on may 30,snhr international coalition warplanes missiles fired near alia bent al mahdi school in madan town in raqqa governorate eastern suburbs partially destroying its fence on may  ,partially,alia bent al mahdi school
http://sn4hr.org/blog/2017/05/30/international-coalition-forces-shelled-school-al-mansoura-town-raqqa-governorate-may-28/,"
snhr: international coalition warplanes missiles fired on a school in al shamali neighborhood in al mansoura town in raqqa governorate western suburbs, destroying it and rendering it inoperable on may 28, 2017.
","May 30, 2017",international coalition forces shelled a school in al mansoura town in raqqa governorate on may 28,snhr international coalition warplanes missiles fired on a school in al shamali neighborhood in al mansoura town in raqqa governorate western suburbs destroying it and rendering it inoperable on may  ,inoperable,a school
http://sn4hr.org/blog/2017/05/29/international-coalition-forces-shelled-al-rashid-school-al-qwatli-street-raqqa-city-may-27/,"
snhr: international coalition warplanes fired missiles on al rashid primary school in al qwatli street in center of raqqa city, destroying it completely and rendering it inoperable, may 27, 2017.
","May 29, 2017",international coalition forces shelled al rashid school in al qwatli street in raqqa city on may 27,snhr international coalition warplanes fired missiles on al rashid primary school in al qwatli street in center of raqqa city destroying it completely and rendering it inoperable may  ,completely,al rashid primary school
http://sn4hr.org/blog/2017/05/12/syrian-regime-forces-shelled-bdama-primary-school-bdama-town-idlib-governorate-may-11/,"
snhr: syrian regime missiles launcher fired missiles on bdama primary school in bdama town in idlib governorate western suburbs, partially destroying its building and damaging its furniture on may 11, 2017.
","May 12, 2017",syrian regime forces shelled bdama primary school in bdama town in idlib governorate on may 11,snhr syrian regime missiles launcher fired missiles on bdama primary school in bdama town in idlib governorate western suburbs partially destroying its building and damaging its furniture on may  ,partially,bdama primary school
http://sn4hr.org/blog/2017/05/01/syrian-russian-forces-shelled-primary-school-saqba-city-damascus-suburbs-may-1/,"
snhr: syrian-russian alliance warplanes fired missiles on saqba al ola primary school in saqba city east of damascus suburbs, partially damaging its fence and damaging it severely, rendering it inoperable, may 1, 2017.
","May 1, 2017",syrian-russian forces shelled primary school in saqba city in damascus suburbs on may 1,snhr syrianrussian alliance warplanes fired missiles on saqba al ola primary school in saqba city east of damascus suburbs partially damaging its fence and damaging it severely rendering it inoperable may  ,severely,saqba al ola primary school
http://sn4hr.org/blog/2017/04/24/international-coalition-forces-shelled-school-tabaqa-city-raqqa-governorate-april-22/,"
snhr: international coalition warplanes missiles fired on “march 18” school south of al tabaqa city in raqqa governorate western suburbs, severely destroying its building and rendering it inoperable on april 22, 2017.
","April 24, 2017",international coalition forces shelled a school in tabaqa city in raqqa governorate on april 22,snhr international coalition warplanes missiles fired on march  school south of al tabaqa city in raqqa governorate western suburbs severely destroying its building and rendering it inoperable on april  ,severely,march  school
http://sn4hr.org/blog/2017/04/22/syrian-regime-forces-shelled-school-al-hamboushiya-village-idlib-governorate-april-22/,"
snhr: syrian regime artillery fired shells on al hamboushiya school in al hamboushiya village in idlib governorate southern suburbs, damaging it, april 22, 2017.
","April 22, 2017",syrian regime forces shelled school in al hamboushiya village in idlib governorate on april 22,snhr syrian regime artillery fired shells on al hamboushiya school in al hamboushiya village in idlib governorate southern suburbs damaging it april  ,damaging,al hamboushiya school
http://sn4hr.org/blog/2017/04/22/international-coalition-forces-shelled-school-al-tabaqa-city-raqqa-governorate-april-21/,"
snhr: international coalition warplanes missiles fired on halima al sa’adiya school south of al tabaqa city in raqqa governorate western suburbs, destroying it almost completely, rendering it inoperable, april 21, 2017.
","April 22, 2017",international coalition forces shelled school in al tabaqa city in raqqa governorate on april 21,snhr international coalition warplanes missiles fired on halima al saadiya school south of al tabaqa city in raqqa governorate western suburbs destroying it almost completely rendering it inoperable april  ,completely,halima al saadiya school
http://sn4hr.org/blog/2017/04/18/international-coalition-forces-shelled-primary-school-al-abbara-village-raqqa-governorate-april-17/,"
snhr: international coalition warplanes fired missiles on primary school in al abbara village in raqqa governorate northern suburbs damaging it severely, april 17, 2017.
","April 18, 2017",international coalition forces shelled primary school in al abbara village in raqqa governorate on april 17,snhr international coalition warplanes fired missiles on primary school in al abbara village in raqqa governorate northern suburbs damaging it severely april  ,severely,primary school
http://sn4hr.org/blog/2017/04/18/syrian-russian-alliance-forces-shelled-primary-school-darat-ezza-city-aleppo-governorate-april-18/,"
snhr: syrian-russian alliance warplanes fired 2 missiles on ali bin abi taleb primary school in darat ezza in aleppo governorate western suburbs, partially damaging it, rendering it inoperable, april 18, 2017.
","April 18, 2017",syrian-russian alliance forces shelled primary school in darat ezza city in aleppo governorate on april 18,snhr syrianrussian alliance warplanes fired  missiles on ali bin abi taleb primary school in darat ezza in aleppo governorate western suburbs partially damaging it rendering it inoperable april  ,partially damaging,ali bin abi taleb primary school
http://sn4hr.org/blog/2017/04/15/syrian-regime-forces-shelled-school-suliman-al-jazar-school-kafr-laha-city-homs-governorate-april-15/,"
snhr: syrian regime warplanes fired missiles on suliman al jazar secondary school in kafr laha city in homs governorate northern suburbs, damaging it and rendering it inoperable, april 15, 2017.
","April 15, 2017",syrian regime forces shelled school in suliman al jazar school in kafr laha city in homs governorate on april 15,snhr syrian regime warplanes fired missiles on suliman al jazar secondary school in kafr laha city in homs governorate northern suburbs damaging it and rendering it inoperable april  ,inoperable,suliman al jazar secondary school
http://sn4hr.org/blog/2017/04/13/suspected-russian-forces-shelled-school-jisr-al-shoghour-city-idlib-governorate-april-13/,"
snhr: suspected russian warplanes fired 2 missiles near walid sha’aban high school in al shamali neighborhood in jisr al shoghour city in idlib governorate western suburbs, damaging it, april 13, 2017.
","April 13, 2017",suspected russian forces shelled school in jisr al shoghour city in idlib governorate on april 13,snhr suspected russian warplanes fired  missiles near walid shaaban high school in al shamali neighborhood in jisr al shoghour city in idlib governorate western suburbs damaging it april  ,damaging,walid shaaban high school
http://sn4hr.org/blog/2017/04/10/syrian-regime-forces-shelled-al-hweiz-primary-school-al-hweiz-village-hama-governorate-april-10/,"
snhr: syrian regime artillery fired mortar shells on al hwaiz primary school in al hweiz village in hama governorate northwestern suburbs, killing a woman, partially damaging the school’s fence, and damaging its furniture and building, april 10, 2017.
","April 10, 2017",syrian regime forces shelled al hwaiz primary school in al hweiz village in hama governorate on april 10,snhr syrian regime artillery fired mortar shells on al hwaiz primary school in al hweiz village in hama governorate northwestern suburbs killing a woman partially damaging the schools fence and damaging its furniture and building april  ,partially damaging,al hwaiz primary school
http://sn4hr.org/blog/2017/04/03/syrian-regime-forces-shelled-ibn-al-haytham-school-helfaya-city-hama-governorate-april-3/,"
snhr: syrian regime warplanes fired missile on ibn al haytham school in helfaya city in hama governorate northern suburbs, damaging it severely, and rendering it inoperable, april 3, 2017.
","April 3, 2017",syrian regime forces shelled ibn al haytham school in helfaya city in hama governorate on april 3,snhr syrian regime warplanes fired missile on ibn al haytham school in helfaya city in hama governorate northern suburbs damaging it severely and rendering it inoperable april  ,severely,ibn al haytham school
http://sn4hr.org/blog/2017/04/02/suspected-russian-forces-shelled-nakhla-church-school-nakhla-church-village-idlib-governorate-april-1/,"
snhr: suspected russian warplanes fired missile on nakhla church school in nakhla church village in idlib governorate western suburbs, partially damaging it, april 1, 2017.
","April 2, 2017",suspected russian forces shelled nakhla church school in nakhla church village in idlib governorate on april 1,snhr suspected russian warplanes fired missile on nakhla church school in nakhla church village in idlib governorate western suburbs partially damaging it april  ,partially damaging,nakhla church school
http://sn4hr.org/blog/2017/03/28/syrian-regime-forces-shelled-school-qnaitrat-village-aleppo-governorate-march-27/,"
snhr: syrian regime artillery shells fired on qnaitrat school in qnaitrat village in aleppo governorate southern suburbs, partially damaging its building and yard on march 27, 2017.
","March 28, 2017",syrian regime forces shelled a school in qnaitrat village in aleppo governorate on march 27,snhr syrian regime artillery shells fired on qnaitrat school in qnaitrat village in aleppo governorate southern suburbs partially damaging its building and yard on march  ,partially damaging,qnaitrat school
http://sn4hr.org/blog/2017/03/28/international-coalition-forces-shelled-muawiya-ben-abi-sufyan-school-raqqa-city-march-27/,"
snhr: international coalition warplanes fired missiles on mu’awiya ben abi sufyan school in the center of raqqa city, partially damaging it, on march 27, 2017.
","March 28, 2017",international coalition forces shelled mu’awiya ben abi sufyan school in raqqa city on march 27,snhr international coalition warplanes fired missiles on muawiya ben abi sufyan school in the center of raqqa city partially damaging it on march  ,partially damaging,muawiya ben abi sufyan school
http://sn4hr.org/blog/2017/03/25/36483/,"
snhr: suspected russian warplanes missiles fired near abu al alaa al ma’ari school in raqqa city, severely damaging it and rendering it inoperable, march 24, 2017.
","March 25, 2017",suspected russian forces shelled a school in raqqa city on march 24,snhr suspected russian warplanes missiles fired near abu al alaa al maari school in raqqa city severely damaging it and rendering it inoperable march  ,severely damaging,abu al alaa al maari school
http://sn4hr.org/blog/2017/03/24/armed-opposition-factions-shelled-abdul-fattah-baath-school-al-hamadaniya-neighborhood-aleppo-city-march-23/,"
snhr: local made rocket shells fired on abdul fattah ba’ath school in al hamadaniya neighborhood west of aleppo city, from artillery located in al rashedeen neighborhood controlled by armed opposition factions, partially damaging its yard, march 23, 2017.
","March 24, 2017",armed opposition factions shelled abdul fattah ba’ath school in al hamadaniya neighborhood in aleppo city on march 23.,snhr local made rocket shells fired on abdul fattah baath school in al hamadaniya neighborhood west of aleppo city from artillery located in al rashedeen neighborhood controlled by armed opposition factions partially damaging its yard march  ,partially damaging,abdul fattah baath school
http://sn4hr.org/blog/2017/03/22/suspected-russian-forces-shelled-school-kafr-nobbol-city-idlib-governorate-march-22/,"
snhr: suspected russian warplanes fired a missile on the industrial school north of kafr nobbol city in idlib governorate southern suburbs, partially damaging it and rendering it inoperable, march 22, 2017.
","March 22, 2017",suspected russian forces shelled school in kafr nobbol city in idlib governorate on march 22,snhr suspected russian warplanes fired a missile on the industrial school north of kafr nobbol city in idlib governorate southern suburbs partially damaging it and rendering it inoperable march  ,partially damaging,the industrial school
http://sn4hr.org/blog/2017/03/22/international-coalition-shelled-school-al-tabaqa-city-raqqa-governorate-march-21/,"
snhr: international coalition warplanes missiles fired on maysaloon school in al tabaqa city in raqqa governorate western suburbs, severely damaging it and rendering it inoperable, march 21, 2017.
","March 22, 2017",international coalition shelled a school in al tabaqa city in raqqa governorate on march 21.,snhr international coalition warplanes missiles fired on maysaloon school in al tabaqa city in raqqa governorate western suburbs severely damaging it and rendering it inoperable march  ,severely damaging,maysaloon school
http://sn4hr.org/blog/2017/03/21/massacre-due-international-coalition-forces-shelling-school-sheltering-displaced-al-mansora-town-raqqa-governorate-march-21/,"
at least 31 individuals died in international coalition warplanes missiles fired on school sheltering displaced in al mansora town in raqqa governorate western suburbs, march 21, snhr yet unable to verify the news, 2017.
","March 21, 2017",massacre due to international coalition forces shelling on school sheltering displaced in al mansora town in raqqa governorate on march 21,at least  individuals died in international coalition warplanes missiles fired on school sheltering displaced in al mansora town in raqqa governorate western suburbs march  snhr yet unable to verify the news ,,school
http://sn4hr.org/blog/2017/03/21/massacre-isiss-mine-explosion-near-western-school-hzayma-town-raqqa-governorate-march-20/,"
snhr: 5 children died in the explosion of landmine planted by isis near the western school in hazema town in raqqa governorate northern suburbs, march 20, 2017.
","March 21, 2017",massacre in isis’s mine explosion near the western school in hazema town in raqqa governorate on march 20,snhr  children died in the explosion of landmine planted by isis near the western school in hazema town in raqqa governorate northern suburbs march  ,,the western school
